"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username"""
"1785456221287559317,""Tue Apr 30 23:48:29 +0000 2024"",""0"",""bodoh"",""1785456221287559317"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/yappingtara/status/1785456221287559317"",""1756370933613469696"",""yappingtara"""
"1785314202388935045,""Tue Apr 30 23:47:34 +0000 2024"",""0"",""@tanyarlfes Lagi bahas masalah serius tp responnya becanda. Dan kalo kita ngambek krn gasuka malah dikatain ajg baperan . Becanda juga harus tau tempat ya bodoh. Dan semenjak ada kata2 baperan gaada lagi kata maaf ."",""1785455986595266923"","""",""tanyarlfes"",""in"",""unknown"",""0"",""0"",""0"",""https://x.com/mevoyezvousrire/status/1785455986595266923"",""1091690502049587200"",""mevoyezvousrire"""
"1785455656214122987,""Tue Apr 30 23:47:26 +0000 2024"",""0"",""Pasangan bodoh kesayangan nomer dua: https://t.co/dzc3mN95OF"",""1785455953040515177"",""https://pbs.twimg.com/tweet_video_thumb/GMc2uL-aYAA3XXC.jpg"",""PerswinaAllaili"",""in"",""Bandung, Jawa Barat"",""0"",""0"",""0"",""https://x.com/PerswinaAllaili/status/1785455953040515177"",""452679990"",""PerswinaAllaili"""
"1785455656214122987,""Tue Apr 30 23:46:15 +0000 2024"",""0"",""Duh kena spoiler wkwk belum sempet nontonn pasangan bodoh ini"",""1785455656214122987"","""","""",""in"",""Bandung, Jawa Barat"",""0"",""1"",""0"",""https://x.com/PerswinaAllaili/status/1785455656214122987"",""452679990"",""PerswinaAllaili"""
"1785165591365689631,""Tue Apr 30 23:46:11 +0000 2024"",""0"",""@Penyuka_ombak Jgan seperti manusia bodoh gimana sih?"",""1785455640175161495"","""",""Penyuka_ombak"",""in"",""Malang"",""0"",""0"",""0"",""https://x.com/Achonk_Saulsick/status/1785455640175161495"",""1621964328"",""Achonk_Saulsick"""
"1785304662847222213,""Tue Apr 30 23:46:05 +0000 2024"",""19"",""@MALAYSIAVIRALLL dah la tak bayar cukai. duit dapat lebih. tak belanja kat sini. duit semua hantar sana. macam sial. bila cakap nanti melayu bodoh akan cakap takpela tu rezki diorang bodoh nak mampos. singapore kau jangan mimpi nak buat dua kerja."",""1785455613579018416"","""",""MALAYSIAVIRALLL"",""in"","""",""0"",""2"",""9"",""https://x.com/binjitt/status/1785455613579018416"",""893885947149824000"",""binjitt"""
"1785454908692725809,""Tue Apr 30 23:44:28 +0000 2024"",""0"",""kenal org yg kerjaannya pamerin diri kl dia krja di becuk gitu aja w dh sadar gimana hasilnya becuk kl recrut org org bodoh akal cuma bisa pamer"",""1785455207222280635"","""",""1O665"",""in"",""𝟐𝟏+"",""0"",""1"",""0"",""https://x.com/1O665/status/1785455207222280635"",""1015456580"",""1O665"""
"1785455098543702307,""Tue Apr 30 23:44:02 +0000 2024"",""0"",""bodoh ih amit amit jabang bayi"",""1785455098543702307"","""","""",""in"",""Jakarta Capital Region"",""0"",""0"",""0"",""https://x.com/heichoutruly/status/1785455098543702307"",""762068824371802112"",""heichoutruly"""
"1784916781607354401,""Tue Apr 30 23:43:32 +0000 2024"",""0"",""@TSolihien Lagian saya yg bodoh aja faham siapa anis .... Sekarang giliran ditinggalin marah2 TELMI"",""1785454972882309178"","""",""TSolihien"",""in"","""",""0"",""0"",""0"",""https://x.com/Musarojan166401/status/1785454972882309178"",""1688197462975188992"",""Musarojan166401"""
"1785454908692725809,""Tue Apr 30 23:43:17 +0000 2024"",""0"",""becuk gimana mau bagus yang di recrut org org bodoh akal"",""1785454908692725809"","""","""",""in"",""𝟐𝟏+"",""0"",""1"",""0"",""https://x.com/1O665/status/1785454908692725809"",""1015456580"",""1O665"""
"1785454882700546080,""Tue Apr 30 23:43:10 +0000 2024"",""0"",""dato bandar lantikan politik ? budak muda ni memang bodoh dah la jadi barua pn lani."",""1785454882700546080"","""","""",""in"",""kodiang"",""0"",""0"",""0"",""https://x.com/muhammadipan95/status/1785454882700546080"",""1039836786"",""muhammadipan95"""
"1785454835132928343,""Tue Apr 30 23:42:59 +0000 2024"",""15"",""Demo kok bodoh. Propaganda ala orang kiri ini sih. Kebodohan 1: Chornobyl itu kota Indonesia negara. Gak sebanding. Kebodohan 2: Bahaya radiasi itu overrated. Gorengan penuh kolesterol lebih bahaya. Kebodohan 3: PLTN Bengkayang gak pakai RBMK pakainya SMR PWR."",""1785454835132928343"","""","""",""in"",""Indonesia"",""0"",""0"",""6"",""https://x.com/r_a_p_dwija/status/1785454835132928343"",""1675108101551460358"",""r_a_p_dwija"""
"1785454497738977425,""Tue Apr 30 23:41:39 +0000 2024"",""0"",""Ngeri sekarang jaman viral jadi pikir 2x klo mau ngelakuin hal bodoh yg bakal diviralin .... Sekejap bisa hilang semua karna viral."",""1785454497738977425"","""","""",""in"",""Tenggarang, Indonesia"",""0"",""0"",""0"",""https://x.com/agozfcs/status/1785454497738977425"",""1769461292585369600"",""agozfcs"""
"1785139396544741419,""Tue Apr 30 23:41:30 +0000 2024"",""0"",""@MuslikhMohamad @NinzExe07 memang kemiskinan dan kebodohan itu harus dilestarikan shg bisa dikapitalisasi di event ttt. Mereka mungkin mengikuti pendidikan tetapi realitanya bodoh bahkan mereka tdk mampu mengidentifikasi kebutuhan dirinya apalagi bangsanya......."",""1785454461642789108"","""",""MuslikhMohamad"",""in"","""",""0"",""0"",""0"",""https://x.com/sin2023chan/status/1785454461642789108"",""1676432495162855424"",""sin2023chan"""
"1785454359473795508,""Tue Apr 30 23:41:06 +0000 2024"",""2"",""Makin banyak alasan makin terlihat bodoh"",""1785454359473795508"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/hikoyokshi/status/1785454359473795508"",""375621735"",""hikoyokshi"""
"1785310509698613571,""Tue Apr 30 23:40:52 +0000 2024"",""0"",""@ardisatriawan oh tidak bisa gitu... biarkan mayoritas mereka bodoh."",""1785454300367605890"","""",""ardisatriawan"",""in"",""Amegakure"",""0"",""0"",""0"",""https://x.com/kalawasanadeva/status/1785454300367605890"",""1603927094815121408"",""kalawasanadeva"""
"1785454016887210212,""Tue Apr 30 23:39:44 +0000 2024"",""0"",""Pagi pagi dah bodoh menyusahkan hidup orang"",""1785454016887210212"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/iqzne/status/1785454016887210212"",""241816730"",""iqzne"""
"1785154314186711130,""Tue Apr 30 23:39:26 +0000 2024"",""0"",""@razmin_afifi @FadhliShaari caloh ph sudah masuk perangkap LOLLLLLL bodoh"",""1785453943000285382"","""",""Arbiz_Nessor"",""in"","""",""0"",""0"",""0"",""https://x.com/binjitt/status/1785453943000285382"",""893885947149824000"",""binjitt"""
"1785226329350410431,""Tue Apr 30 23:39:20 +0000 2024"",""1"",""@AnakPakChot @kuramie300 @saythenameay X guna bagi link kat walaun diorg terlalu malas utk membaca dan terlalu bodoh utk faham konteks. Semua yg kena btg hidung diorg fitnah. Terlebih minum air kencing hadi awang"",""1785453914927821067"","""",""AnakPakChot"",""in"","""",""0"",""0"",""0"",""https://x.com/unwaknat/status/1785453914927821067"",""709944336"",""unwaknat"""
"1785333388272140635,""Tue Apr 30 23:38:08 +0000 2024"",""1"",""@pakaipeci Bodoh sih tidak...hanya masa bodo dgn rakyatnya"",""1785453615446114796"","""",""pakaipeci"",""in"",""Pancoran, Indonesia"",""0"",""0"",""0"",""https://x.com/MaliminRinaldi/status/1785453615446114796"",""4597496354"",""MaliminRinaldi"""
"1785094292266230095,""Tue Apr 30 23:37:45 +0000 2024"",""1"",""@Ajo09778364 @jumjumareka @gus_muslih DNA YAHUDI.. PENGIKUTNYA BODOH DAN GUOBLOG."",""1785453518993924575"","""","""",""in"",""sentul pinggir"",""0"",""1"",""0"",""https://x.com/adekoedin3/status/1785453518993924575"",""1615002403342012417"",""adekoedin3"""
